问题触发时间,地市,区县,TAC(LAC),数据来源,问题归类(二级),类别要素,主指标表征值,处理优先级,是否为FDD站点,是否指纹库智能分析系统运算,是否列为白名单,是否为性能交维站点,资管生命周期状态,劣化次数,告警触发次数,日均流量(GB),业务要素,场景要素,覆盖类型,覆盖场景,中心经度,中心维度,厂家名称,自愈状态
9月,杭州,下城,22449,SEQ,CSFB回落质差,质量,56.44,中,否,否,否,是,现网,7,1,0.02,语音,室分,室内,休闲娱乐场所,120.173,30.311,华为,派单
9月,杭州,余杭,22567,北向性能,无线切换质差,质量,93.07,高,否,是,否,是,现网,5,6,0.01,数据,室外,室外,中小学,120.005,30.23,华为,派单
9月,杭州,桐庐,22701,北向性能,无线接通质差,质量,95.3,高,否,是,否,是,现网,5,9,0,数据,室外,室外,乡镇,119.521,29.786,中兴,派单
8月,杭州,江干,26643,北向性能,无线切换质差,质量,92.17,高,否,否,否,是,维护,3,3,0,数据,室外,室外,低层居民区,120.278,30.305,华为,派单
7月,杭州,西湖,22296,SEQ,CSFB回落质差,质量,93.45,高,否,否,否,是,现网,5,8,0.03,语音,室外,室外,休闲娱乐场所,120.088,30.167,华为,派单
7月,杭州,下沙,26643,SEQ,CSFB回落质差,质量,93.94,高,否,否,否,是,现网,4,13,0.02,语音,室外,室外,工业园区,120.296,30.334,华为,派单
9月,杭州,下沙,22458,北向性能,RRC重建比质差,质量,16.23,高,否,否,否,是,现网,4,2,0.02,数据,室外,室外,郊区道路,120.334,30.327,华为,派单
7月,绍兴,诸暨,26711,北向性能,RRC重建比质差,质量,11.63,中,否,否,否,是,现网,3,1,0,数据,室分,室内,休闲娱乐场所,120.163,29.696,华为,派单
9月,绍兴,诸暨,26704,北向性能,RRC重建比质差,质量,14.99,高,否,否,否,是,现网,4,18,0.01,数据,室外,室外,商业中心,120.191,29.743,华为,派单
10月,绍兴,诸暨,26704,北向性能,RRC重建比质差,质量,17.94,高,否,否,否,是,现网,3,20,0,数据,室外,室外,商业中心,120.191,29.743,华为,派单
9月,绍兴,诸暨,26711,北向性能,无线切换质差,质量,93.18,中,否,是,否,是,现网,3,1,0,数据,室分,室内,工业园区,120.164,29.707,华为,派单
8月,绍兴,绍兴,22358,北向性能,无线切换质差,质量,87.78,高,否,否,否,是,现网,5,6,0.02,数据,室分,室内,高层居民区,120.477,30.08,华为,派单
9月,绍兴,上虞,22620,北向性能,RRC重建比质差,质量,12.55,高,否,否,否,是,现网,3,5,0.01,数据,室外,室外,高层居民区,120.865,30.034,华为,派单
7月,绍兴,诸暨,26704,北向性能,无线切换质差,质量,91.32,高,否,否,否,是,现网,4,4,0,数据,室外,室外,村庄,120.238,29.814,华为,派单
7月,绍兴,上虞,22357,北向性能,RRC重建比质差,质量,15.18,中,否,否,否,是,现网,3,1,0.01,数据,室外,室外,村庄,120.952,30.054,华为,派单
9月,绍兴,上虞,22357,北向性能,无线切换质差,质量,82.84,中,否,否,否,是,现网,5,1,0,数据,高速,室外,高速公路,120.952,30.054,华为,派单
8月,绍兴,越城,26448,北向性能,无线切换质差,质量,92.9,高,否,否,否,是,现网,3,2,0.03,数据,室分,室内,低层居民区,120.615,30.061,华为,派单
7月,绍兴,越城,26448,SEQ,CSFB回落质差,质量,88.35,高,否,否,否,是,现网,4,5,0.03,语音,室分,室内,低层居民区,120.616,30.071,华为,派单
8月,绍兴,越城,26531,北向性能,VOLTE接通质差,质量,96.92,高,否,否,否,是,现网,3,4,0.01,语音,小微站,室内,低层居民区,120.569,29.986,华为,派单
9月,绍兴,越城,26462,SEQ,CSFB回落质差,质量,92.93,高,否,否,否,是,现网,4,8,0.02,语音,室分,室内,低层居民区,120.667,30.003,华为,派单
7月,绍兴,绍兴,22614,北向性能,无线切换质差,质量,92.87,高,否,否,否,是,现网,3,3,0.01,数据,小微站,室外,工业园区,120.477,30.116,华为,派单
10月,绍兴,越城,26531,SEQ,CSFB回落质差,质量,95.64,高,否,否,否,是,现网,3,6,0.02,语音,室分,室内,低层居民区,120.589,29.986,华为,派单
7月,绍兴,绍兴,26449,SEQ,CSFB回落质差,质量,93.96,高,否,否,否,是,现网,4,12,0.03,语音,室分,室内,低层居民区,120.489,30.047,华为,派单
9月,绍兴,越城,26531,SEQ,CSFB回落质差,互操作,95.67,高,否,否,否,是,现网,4,4,0.07,语音,小微站,室内,低层居民区,120.57,29.985,华为,派单
8月,绍兴,新昌,22622,北向性能,无线切换质差,质量,92.45,高,否,否,否,是,现网,3,5,0.01,数据,室外,室外,村庄,120.784,29.313,华为,派单
8月,绍兴,新昌,26459,北向性能,RRC重建比质差,质量,13.96,高,否,否,否,是,现网,4,4,0,数据,室外,室外,村庄,121.003,29.54,华为,派单
8月,绍兴,嵊州,22612,北向性能,无线接通质差,质量,96.37,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,120.729,29.586,华为,派单
7月,绍兴,越城,26530,北向性能,无线接通质差,质量,95.37,高,否,否,否,是,现网,4,7,0,数据,室外,室外,城区道路,120.547,29.99,华为,派单
8月,绍兴,越城,26530,北向性能,无线接通质差,质量,96.37,中,否,否,否,是,现网,3,1,0,数据,室外,室外,城区道路,120.547,29.99,华为,派单
9月,绍兴,嵊州,22612,北向性能,RRC重建比质差,质量,28.98,中,否,否,否,是,现网,3,1,0,数据,室外,室外,村庄,120.729,29.619,华为,派单
7月,绍兴,嵊州,22612,北向性能,RRC重建比质差,质量,20.96,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,120.725,29.687,华为,派单
7月,绍兴,嵊州,22356,北向性能,无线切换质差,质量,55.63,高,否,否,否,是,现网,3,4,0.01,数据,室外,室外,村庄,120.766,29.461,华为,派单
9月,绍兴,嵊州,22612,北向性能,RRC重建比质差,质量,13.48,高,否,否,否,是,现网,4,5,0.01,数据,室外,室外,村庄,120.539,29.694,华为,派单
9月,绍兴,嵊州,22612,北向性能,无线切换质差,质量,87.25,高,否,是,否,是,现网,4,3,0.01,数据,室外,室外,村庄,120.539,29.694,华为,派单
7月,绍兴,嵊州,22365,北向性能,RRC重建比质差,质量,18.51,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,村庄,120.748,29.741,华为,派单
7月,绍兴,诸暨,26457,北向性能,RRC重建比质差,质量,14.08,高,否,否,否,是,现网,3,4,0.01,数据,室外,室外,村庄,120.426,29.612,华为,派单
8月,绍兴,诸暨,26706,北向性能,VOLTE丢包质差,质量,6.54,高,否,否,否,是,现网,3,3,0,语音,室外,室外,村庄,120.427,29.708,华为,派单
9月,绍兴,诸暨,26709,北向性能,RRC重建比质差,质量,23.15,高,否,否,否,是,现网,5,9,0.01,数据,室外,室外,高层居民区,120.186,29.733,华为,派单
7月,绍兴,越城,22363,北向性能,无线切换质差,质量,92.84,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,村庄,120.542,30.094,华为,派单
7月,绍兴,新昌,22622,北向性能,无线切换质差,质量,92.03,高,否,否,否,是,现网,4,3,0,数据,室外,室外,村庄,120.832,29.323,华为,派单
7月,绍兴,上虞,22362,北向性能,RRC重建比质差,质量,13.53,高,否,否,否,是,现网,4,11,0.01,数据,室外,室外,村庄,120.869,29.795,华为,派单
7月,绍兴,嵊州,22366,北向性能,无线切换质差,质量,93.12,高,否,否,否,是,现网,3,2,0.01,数据,室外,室外,村庄,121.083,29.621,华为,派单
9月,绍兴,诸暨,22623,北向性能,RRC重建比质差,质量,33.14,高,否,否,否,是,现网,4,5,0.01,数据,室外,室外,村庄,120.436,29.847,华为,派单
9月,舟山,定海,22432,北向性能,无线接通质差,质量,96.13,高,否,是,否,是,现网,3,4,0,数据,室外,室外,村庄,122.038,30.138,华为,派单
10月,舟山,定海,22432,北向性能,无线切换质差,质量,80.5,高,否,是,否,是,现网,3,9,0.01,数据,海域,室外,近水近海域,121.822,30.083,华为,派单
7月,舟山,岱山,26790,北向性能,无线切换质差,质量,63.61,高,否,否,否,是,现网,5,20,0,数据,海域,室外,近水近海域,122.265,30.526,华为,派单
7月,舟山,岱山,26790,北向性能,无线切换质差,质量,68.64,高,否,否,否,是,现网,7,27,0,数据,海域,室外,近水近海域,122.265,30.526,华为,派单
8月,舟山,嵊泗,22442,北向性能,无线切换质差,质量,75.18,高,否,否,否,是,现网,3,4,0,数据,室外,室外,低层居民区,122.574,30.663,华为,派单
8月,舟山,普陀,22447,北向性能,无线切换质差,质量,93,中,否,否,否,是,现网,3,1,0,数据,室外,室外,风景区,122.388,29.857,华为,派单
8月,舟山,普陀,22447,北向性能,无线切换质差,质量,92.07,高,否,否,否,是,现网,3,3,0,数据,室外,室外,风景区,122.406,29.848,华为,派单
10月,舟山,普陀,22434,北向性能,无线接通质差,质量,95.54,高,否,是,否,是,现网,5,7,0.01,数据,室外,室外,高层居民区,122.307,29.971,华为,派单
9月,舟山,普陀,22447,北向性能,RRC重建比质差,质量,17.28,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,风景区,122.405,29.887,华为,派单
8月,舟山,普陀,22447,北向性能,无线切换质差,质量,91.83,中,否,否,否,是,现网,3,1,0.01,数据,室外,室外,村庄,122.427,30.028,华为,派单
7月,舟山,普陀,26788,北向性能,无线切换质差,质量,80.14,高,否,否,否,是,现网,5,6,0.01,数据,室外,室外,村庄,122.28,29.737,华为,派单
7月,舟山,普陀,26788,北向性能,RRC重建比质差,质量,16.07,高,否,否,否,是,现网,4,3,0,数据,室外,室外,村庄,122.28,29.737,华为,派单
7月,舟山,普陀,26788,北向性能,RRC重建比质差,质量,19.79,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,122.071,29.748,华为,派单
7月,舟山,普陀,22447,北向性能,无线接通质差,质量,96.03,高,否,否,否,是,现网,3,6,0.01,数据,室外,室外,低层居民区,122.366,29.954,华为,派单
10月,舟山,岱山,22439,北向性能,RRC重建比质差,质量,16.57,高,否,否,否,是,现网,3,4,0.01,数据,室外,室外,低层居民区,122.142,30.29,华为,派单
10月,舟山,岱山,22439,北向性能,RRC重建比质差,质量,14.73,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,122.159,30.313,华为,派单
8月,舟山,岱山,26790,北向性能,无线切换质差,质量,94.48,高,否,否,否,是,现网,3,3,0.05,数据,室外,室外,村庄,121.968,30.326,华为,派单
7月,舟山,嵊泗,22442,北向性能,无线切换质差,质量,85.42,高,否,否,否,是,现网,3,3,0.01,数据,海域,室外,近水近海域,122.286,30.65,华为,派单
7月,舟山,嵊泗,22442,北向性能,RRC重建比质差,质量,29.06,高,否,否,否,是,现网,5,6,0,数据,海域,室外,近水近海域,122.286,30.65,华为,派单
8月,舟山,嵊泗,22442,北向性能,无线切换质差,质量,87.46,高,否,否,否,是,现网,3,3,0.01,数据,海域,室外,近水近海域,122.286,30.65,华为,派单
9月,舟山,嵊泗,22442,北向性能,RRC重建比质差,质量,11.27,中,否,否,否,是,现网,3,1,0,数据,室外,室外,低层居民区,122.453,30.728,华为,派单
8月,舟山,定海,22441,北向性能,RRC重建比质差,质量,10.97,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,122.198,30.006,华为,派单
8月,衢州,常山,22284,北向性能,无线切换质差,质量,91.8,高,否,否,否,是,现网,3,3,0,数据,室外,室外,低层居民区,118.506,28.896,诺基亚,派单
10月,衢州,柯城,22287,北向性能,无线切换质差,质量,62.46,高,否,是,否,是,现网,3,7,0.01,数据,室分,室内,工业园区,118.883,28.911,诺基亚,派单
9月,衢州,江山,26374,北向性能,无线切换质差,质量,87.5,高,否,是,否,是,现网,6,10,0,数据,室外,室外,村庄,118.727,28.829,诺基亚,派单
9月,衢州,柯城,22281,北向性能,无线切换质差,质量,90.45,高,否,是,否,是,现网,5,8,0,数据,高校,室外,高校,118.827,28.968,诺基亚,派单
9月,衢州,柯城,22281,北向性能,无线切换质差,质量,89.89,高,否,是,否,是,现网,5,5,0,数据,高校,室外,高校,118.827,28.968,诺基亚,派单
9月,衢州,柯城,22281,北向性能,无线切换质差,质量,92.74,中,否,否,否,是,现网,3,1,0,数据,高校,室外,高校,118.827,28.968,诺基亚,派单
7月,衢州,龙游,22278,北向性能,无线切换质差,质量,93.18,高,否,否,否,是,现网,3,4,0.01,数据,室外,室外,低层居民区,119.296,29.042,诺基亚,派单
8月,衢州,开化,26381,北向性能,无线接通质差,质量,95.15,高,否,否,否,是,现网,3,2,0,数据,室外,室外,低层居民区,118.413,29.109,诺基亚,派单
7月,衢州,江山,26374,北向性能,无线切换质差,质量,85.39,高,否,否,否,是,现网,6,16,0.01,数据,室外,室外,村庄,118.69,28.82,诺基亚,派单
8月,衢州,江山,26374,北向性能,无线切换质差,质量,93.89,高,否,否,否,是,现网,3,9,0.01,数据,室外,室外,村庄,118.69,28.82,诺基亚,派单
7月,衢州,柯城,26372,北向性能,无线切换质差,质量,92.08,高,否,否,否,是,现网,5,5,0,数据,室外,室外,城区道路,118.911,28.981,诺基亚,派单
8月,衢州,衢江,22283,北向性能,无线切换质差,质量,91.28,高,否,否,否,是,现网,3,8,0.01,数据,室外,室外,村庄,119.019,28.963,诺基亚,派单
10月,衢州,衢江,22283,北向性能,无线切换质差,质量,90.26,高,否,是,否,是,现网,5,9,0.01,数据,室外,室外,村庄,119.019,28.963,诺基亚,派单
9月,衢州,衢江,22283,北向性能,无线切换质差,质量,89.88,高,否,是,否,是,现网,5,4,0.02,数据,室外,室外,村庄,119.019,28.963,诺基亚,派单
7月,衢州,江山,26374,北向性能,无线切换质差,质量,91,高,否,否,否,是,现网,5,5,0,数据,室外,室外,村庄,118.685,28.802,诺基亚,派单
10月,衢州,江山,26374,北向性能,无线切换质差,质量,92.58,高,否,是,否,是,现网,5,9,0.01,数据,室外,室外,村庄,118.685,28.802,诺基亚,派单
7月,衢州,江山,26374,北向性能,无线切换质差,质量,91.87,高,否,否,否,是,现网,5,5,0,数据,室外,室外,村庄,118.685,28.802,诺基亚,派单
8月,衢州,江山,22274,北向性能,VOLTE掉话质差,感知,2.65,高,否,否,否,是,现网,3,7,0,语音,室外,室外,低层居民区,118.634,28.768,诺基亚,派单
7月,衢州,江山,26839,北向性能,无线掉线质差,质量,2.67,高,否,是,否,是,现网,4,11,0,数据,室外,室外,村庄,118.432,28.637,诺基亚,派单
10月,衢州,江山,26839,北向性能,无线接通质差,质量,96.19,高,否,否,否,是,现网,4,6,0,数据,室外,室外,村庄,118.432,28.637,诺基亚,派单
10月,衢州,开化,26381,北向性能,无线切换质差,质量,92.87,高,否,是,否,是,现网,3,6,0.04,数据,室外,室外,低层居民区,118.403,29.112,诺基亚,派单
8月,衢州,开化,26370,北向性能,无线掉线质差,质量,2.86,中,否,是,否,是,现网,5,1,0,数据,室外,室外,低层居民区,118.379,29.269,诺基亚,派单
10月,衢州,江山,22274,北向性能,无线切换质差,质量,85.29,高,否,是,否,是,现网,5,9,0,数据,室外,室外,低层居民区,118.638,28.736,诺基亚,派单
8月,衢州,开化,26840,北向性能,VOLTE接通质差,质量,85.4,高,否,否,否,是,现网,5,1,0,语音,室外,室外,低层居民区,118.334,29.223,诺基亚,派单
8月,衢州,常山,22284,北向性能,无线切换质差,质量,93.43,高,否,否,否,是,现网,3,13,0.01,数据,室外,室外,低层居民区,118.512,28.905,诺基亚,派单
7月,衢州,江山,22274,北向性能,无线切换质差,质量,92.01,高,否,否,否,是,现网,3,2,0.01,数据,室外,室外,低层居民区,118.633,28.75,诺基亚,派单
8月,衢州,开化,26840,北向性能,无线接通质差,质量,79.11,高,否,否,否,是,现网,5,6,0,数据,室外,室外,低层居民区,118.109,29.163,诺基亚,派单
8月,衢州,常山,26380,北向性能,无线接通质差,质量,96.59,高,否,否,否,是,现网,3,3,0,数据,室外,室外,低层居民区,118.657,29.103,诺基亚,派单
8月,衢州,开化,26381,北向性能,无线切换质差,质量,93.02,高,否,否,否,是,现网,3,6,0,数据,室外,室外,风景区,118.388,29.132,诺基亚,派单
8月,衢州,开化,26381,北向性能,无线切换质差,质量,91.07,高,否,否,否,是,现网,3,3,0,数据,室外,室外,低层居民区,118.391,29.137,诺基亚,派单
8月,衢州,常山,26380,北向性能,无线接通质差,质量,96.29,高,否,否,否,是,现网,3,3,0,数据,室外,室外,低层居民区,118.719,29.171,诺基亚,派单
8月,衢州,衢江,22283,北向性能,无线切换质差,质量,92.22,高,否,否,否,是,现网,3,14,0.02,数据,室外,室外,村庄,118.987,28.929,诺基亚,派单
8月,衢州,常山,22273,北向性能,无线接通质差,质量,94.97,高,否,否,否,是,现网,5,6,0,数据,室外,室外,低层居民区,118.644,28.892,诺基亚,派单
8月,衢州,常山,22273,北向性能,无线接通质差,质量,96.46,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,低层居民区,118.617,28.884,诺基亚,派单
8月,衢州,龙游,22278,北向性能,VOLTE掉话质差,感知,2.03,高,否,否,否,是,现网,3,3,0,语音,室外,室外,低层居民区,119.188,28.809,诺基亚,派单
9月,衢州,江山,26377,北向性能,无线接通质差,质量,95.53,高,否,是,否,是,现网,3,6,0,数据,室外,室外,村庄,118.489,28.355,诺基亚,派单
8月,衢州,江山,22274,北向性能,无线切换质差,质量,93.17,高,否,否,否,是,现网,3,2,0.03,数据,室外,室外,低层居民区,118.616,28.726,诺基亚,派单
9月,衢州,常山,22273,北向性能,VOLTE掉话质差,感知,1.92,高,否,否,否,是,现网,3,3,0,语音,室外,室外,低层居民区,118.504,29.035,诺基亚,派单
8月,衢州,衢江,26376,北向性能,VOLTE丢包质差,质量,3.99,高,否,否,否,是,现网,3,3,0,语音,室外,室外,村庄,118.903,28.711,诺基亚,派单
8月,衢州,衢江,26376,北向性能,无线接通质差,质量,95.78,高,否,否,否,是,现网,5,7,0,数据,室外,室外,村庄,118.903,28.711,诺基亚,派单
9月,衢州,衢江,22283,北向性能,无线切换质差,质量,93.71,高,否,是,否,是,现网,3,3,0.01,数据,室外,室外,村庄,119.068,28.976,诺基亚,派单
8月,衢州,江山,26368,北向性能,无线接通质差,质量,95.75,高,否,否,否,是,现网,3,4,0,数据,室外,室外,村庄,118.763,28.57,诺基亚,派单
9月,衢州,常山,22273,北向性能,无线接通质差,质量,95.89,高,否,否,否,是,现网,4,5,0,数据,室外,室外,低层居民区,118.353,28.878,诺基亚,派单
10月,衢州,江山,26368,北向性能,无线接通质差,质量,94.77,高,否,否,否,是,现网,3,17,0,数据,室外,室外,村庄,118.554,28.749,诺基亚,派单
8月,衢州,柯城,22286,北向性能,无线接通质差,质量,96.87,高,否,否,否,是,现网,4,4,0,数据,室外,室外,低层居民区,118.778,29.182,诺基亚,派单
8月,衢州,开化,22285,北向性能,无线接通质差,质量,96.53,高,否,否,否,是,现网,3,3,0,数据,室外,室外,低层居民区,118.308,29.042,诺基亚,派单
10月,衢州,衢江,22282,北向性能,RRC重建比质差,质量,9.69,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,村庄,118.816,28.9,诺基亚,派单
9月,衢州,常山,26380,北向性能,VOLTE掉话质差,质量,3.11,高,否,否,否,是,现网,4,4,0.01,语音,高速,室外,高速公路,118.562,29.05,诺基亚,派单
8月,衢州,江山,26368,北向性能,无线接通质差,质量,96.37,高,否,否,否,是,现网,4,4,0,数据,室外,室外,村庄,118.454,28.725,诺基亚,派单
9月,衢州,江山,22277,北向性能,无线接通质差,质量,95.86,高,否,是,否,是,现网,5,13,0,数据,室外,室外,村庄,118.538,28.586,诺基亚,派单
8月,衢州,江山,22277,北向性能,无线接通质差,质量,96.35,中,否,否,否,是,现网,3,1,0,数据,室外,室外,村庄,118.538,28.586,诺基亚,派单
9月,衢州,龙游,22278,北向性能,无线切换质差,质量,91.97,中,否,否,否,是,现网,3,1,0,数据,室外,室外,低层居民区,119.308,29.05,诺基亚,派单
7月,衢州,开化,26840,北向性能,无线掉线质差,质量,3.05,高,否,是,否,是,现网,4,16,0,数据,室外,室外,低层居民区,118.166,29.21,诺基亚,派单
8月,衢州,开化,22285,北向性能,无线接通质差,质量,94.26,高,否,否,否,是,现网,5,7,0.01,数据,室外,室外,低层居民区,118.337,28.975,诺基亚,派单
8月,衢州,开化,22285,北向性能,无线接通质差,质量,96.13,高,否,否,否,是,现网,5,8,0.01,数据,室外,室外,低层居民区,118.212,28.964,诺基亚,派单
8月,衢州,开化,26840,北向性能,无线切换质差,质量,93.82,高,否,否,否,是,现网,3,8,0,数据,室外,室外,低层居民区,118.315,29.234,诺基亚,派单
10月,衢州,江山,26368,北向性能,RRC重建比质差,质量,27.58,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,村庄,118.439,28.686,诺基亚,派单
7月,衢州,江山,26374,北向性能,无线切换质差,质量,91.58,高,否,否,否,是,现网,4,4,0,数据,室外,室外,村庄,118.705,28.832,诺基亚,派单
7月,衢州,江山,26839,北向性能,无线接通质差,质量,96.78,高,否,否,否,是,现网,3,2,0,数据,室外,室外,村庄,118.471,28.576,诺基亚,派单
7月,衢州,江山,22277,北向性能,无线接通质差,质量,96.18,高,否,否,否,是,现网,3,11,0,数据,室外,室外,村庄,118.623,28.547,诺基亚,派单
7月,衢州,江山,26368,北向性能,无线接通质差,质量,96.51,高,否,否,否,是,现网,5,5,0,数据,室外,室外,村庄,118.707,28.574,诺基亚,派单
8月,衢州,江山,26839,北向性能,VOLTE丢包质差,质量,3.29,高,否,否,否,是,现网,3,3,0,语音,室外,室外,村庄,118.431,28.578,诺基亚,派单
8月,衢州,常山,22273,北向性能,无线切换质差,质量,92.07,高,否,否,否,是,现网,3,3,0,数据,室外,室外,低层居民区,118.555,28.927,诺基亚,派单
7月,衢州,江山,22277,北向性能,无线接通质差,质量,96.09,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,118.641,28.567,诺基亚,派单
7月,衢州,江山,22277,北向性能,无线接通质差,质量,96.18,高,否,否,否,是,现网,3,5,0,数据,室外,室外,村庄,118.641,28.567,诺基亚,派单
10月,衢州,衢江,22286,北向性能,VOLTE掉话质差,感知,2.93,高,否,否,否,是,现网,3,18,0,语音,室外,室外,村庄,118.88,29.114,诺基亚,派单
7月,衢州,衢江,26368,北向性能,无线接通质差,质量,96.52,高,否,否,否,是,现网,4,4,0,数据,室外,室外,村庄,118.782,28.602,诺基亚,派单
8月,衢州,柯城,26371,北向性能,无线接通质差,质量,96.78,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,118.773,29.054,诺基亚,派单
8月,衢州,常山,22273,北向性能,无线接通质差,质量,95.92,高,否,否,否,是,现网,4,11,0.01,数据,室外,室外,低层居民区,118.407,28.923,诺基亚,派单
8月,衢州,常山,22273,北向性能,无线接通质差,质量,96.44,高,否,否,否,是,现网,4,6,0.01,数据,室外,室外,低层居民区,118.387,28.934,诺基亚,派单
7月,衢州,柯城,26371,北向性能,无线切换质差,质量,90.94,高,否,否,否,是,现网,3,3,0.01,数据,高速,室外,高速公路,118.739,28.965,诺基亚,派单
7月,衢州,衢江,22283,北向性能,无线切换质差,质量,92.27,高,否,否,否,是,现网,3,3,0,数据,室外,室外,工业园区,118.934,28.954,诺基亚,派单
8月,衢州,衢江,22283,北向性能,无线切换质差,质量,85.62,高,否,否,否,是,现网,5,5,0,数据,室外,室外,村庄,119.078,29.009,诺基亚,派单
10月,衢州,衢江,22283,北向性能,无线切换质差,质量,62.05,高,否,否,否,是,现网,6,20,0,数据,室外,室外,村庄,119.078,29.009,诺基亚,派单
10月,衢州,常山,22284,北向性能,无线切换质差,质量,88.03,高,否,是,否,是,现网,6,27,0,数据,高速,室外,高速公路,118.52,28.938,诺基亚,派单
7月,衢州,开化,22285,北向性能,VOLTE掉话质差,感知,2.85,高,否,否,否,是,现网,3,2,0.01,语音,室外,室外,低层居民区,118.056,29.098,诺基亚,派单
7月,湖州,吴兴,22319,北向性能,无线掉线质差,质量,1.9,高,否,是,否,是,现网,3,5,0,数据,室外,室外,乡镇,119.978,30.669,华为,派单
9月,湖州,吴兴,26400,北向性能,无线切换质差,质量,88.14,高,否,是,否,是,现网,5,6,0.03,数据,高校,室内,高校,120.127,30.873,华为,派单
8月,湖州,吴兴,22314,北向性能,RRC重建比质差,质量,14.07,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,村庄,120.301,30.923,华为,派单
8月,湖州,吴兴,26660,北向性能,RRC重建比质差,质量,21.08,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,119.922,30.653,华为,派单
7月,湖州,吴兴,26415,北向性能,无线掉线质差,质量,2.22,高,否,是,否,是,现网,4,4,0,数据,室外,室外,村庄,120.096,30.826,华为,派单
7月,湖州,吴兴,22319,北向性能,无线切换质差,质量,88.94,高,否,否,否,是,现网,5,18,0.01,数据,室外,室外,村庄,120.02,30.886,华为,派单
8月,湖州,吴兴,22319,北向性能,无线切换质差,质量,91.86,高,否,否,否,是,现网,4,6,0.01,数据,室外,室外,村庄,120.02,30.886,华为,派单
10月,湖州,吴兴,22319,北向性能,无线切换质差,质量,93.05,高,否,是,否,是,现网,3,13,0.01,数据,室外,室外,村庄,120.02,30.886,华为,派单
9月,湖州,长兴,22309,北向性能,RRC重建比质差,质量,35.14,中,否,否,否,是,现网,3,1,0,数据,高速,室外,高速公路,119.652,30.986,华为,派单
8月,湖州,吴兴,22319,北向性能,无线掉线质差,质量,2.22,高,否,是,否,是,现网,4,4,0,数据,小微站,室外,城区道路,120.032,30.865,华为,派单
8月,湖州,吴兴,22319,北向性能,无线切换质差,质量,94.78,高,否,否,否,是,现网,3,3,0.02,数据,室外,室外,村庄,120.021,30.89,华为,派单
7月,湖州,吴兴,26665,北向性能,RRC重建比质差,质量,15.63,高,否,否,否,是,现网,4,7,0,数据,室外,室外,城区道路,120.08,30.857,华为,派单
7月,湖州,吴兴,26415,SEQ,CSFB回落质差,质量,95.5,高,否,否,否,是,现网,3,2,0.03,语音,室外,室外,村庄,120.108,30.845,华为,派单
8月,湖州,吴兴,26400,北向性能,无线接通质差,质量,92.89,高,否,否,否,是,现网,4,13,0,数据,室外,室外,高层居民区,120.136,30.872,华为,派单
7月,湖州,长兴,26406,北向性能,RRC重建比质差,质量,12.28,高,否,否,否,是,现网,3,6,0.01,数据,室外,室外,中小学,119.902,31.019,华为,派单
7月,湖州,南浔,26403,北向性能,无线切换质差,质量,92.34,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,120.451,30.834,华为,派单
8月,湖州,南浔,26413,北向性能,无线切换质差,质量,92.09,高,否,否,否,是,现网,3,2,0.01,数据,室外,室外,村庄,120.431,30.858,华为,派单
10月,湖州,德清,22319,北向性能,RRC重建比质差,质量,18.47,高,否,否,否,是,现网,4,4,0,数据,室外,室外,村庄,119.837,30.656,华为,派单
7月,湖州,德清,22313,北向性能,无线切换质差,质量,89.37,高,否,否,否,是,现网,3,7,0,数据,室外,室外,村庄,120.075,30.522,华为,派单
7月,湖州,德清,22313,北向性能,无线切换质差,质量,90.84,高,否,否,否,是,现网,5,6,0,数据,室外,室外,村庄,120.075,30.522,华为,派单
9月,湖州,德清,26408,北向性能,RRC重建比质差,质量,14.64,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,村庄,120.204,30.671,华为,派单
9月,湖州,德清,22307,北向性能,无线切换质差,质量,85.91,高,否,否,否,是,现网,4,5,0.01,数据,室外,室外,村庄,119.987,30.471,华为,派单
8月,湖州,德清,22307,北向性能,无线接通质差,质量,96.27,高,否,否,否,是,现网,5,9,0.01,数据,小微站,室外,山农牧林,119.949,30.538,华为,派单
9月,湖州,德清,22307,北向性能,RRC重建比质差,质量,19.41,高,否,否,否,是,现网,5,5,0,数据,室外,室外,村庄,119.938,30.494,华为,派单
8月,湖州,德清,22313,北向性能,无线切换质差,质量,90.82,高,否,否,否,是,现网,7,20,0.03,数据,室外,室外,村庄,120.036,30.543,华为,派单
